,Train_loss,Train_pearson,Train_r2,Valid_loss,Valid_pearson,Valid_r2,Best_epoch
0,0.07957810230660504,"(0.7758692179133675, 0.0)",0.6010698317724882,0.06824325057753386,"(0.7607160332758462, 3.983241320123823e-236)",0.5784128811442082,28
1,0.06335344434325539,"(0.8296706495227364, 0.0)",0.683728196104231,0.06175555463690892,"(0.8100189069824543, 4.15492262438851e-291)",0.6547609033696682,28
2,0.058426936552550615,"(0.8518526991968807, 0.0)",0.7250868871839924,0.05784209288261752,"(0.8351415543699193, 0.0)",0.697130235900328,28
3,0.055486189376600846,"(0.8648827452359849, 0.0)",0.7457908459820954,0.055906206283685714,"(0.848468187137214, 0.0)",0.7170641620585023,28
4,0.053798503707373775,"(0.8704954957700792, 0.0)",0.757668887680552,0.05582368310681177,"(0.8475358831754896, 0.0)",0.717898825360497,28
5,0.05252569417016917,"(0.8762684091199331, 0.0)",0.767011613187192,0.05446689714154035,"(0.8565114039696508, 0.0)",0.7314450317743377,28
6,0.05176492543414558,"(0.8825006284490757, 0.0)",0.7781126349216556,0.05417868098294825,"(0.8586354634686506, 0.0)",0.7342796724230044,28
7,0.050886423500119835,"(0.8871862098158207, 0.0)",0.7858409697208637,0.0531342384875234,"(0.8639491920185833, 0.0)",0.7444259007498695,28
8,0.05017870680063992,"(0.8868123469457345, 0.0)",0.7840539443955706,0.054415857697863154,"(0.8595904301508726, 0.0)",0.7319481085323671,28
9,0.04978732484552299,"(0.8882981206968863, 0.0)",0.7885252765213105,0.05385459221214425,"(0.8606131038277559, 0.0)",0.7374491703620107,28
10,0.049433618252781114,"(0.8928831518996743, 0.0)",0.7933657864470915,0.052954304338676136,"(0.8642763425740745, 0.0)",0.7461539239335899,28
11,0.04908308779571766,"(0.892451792833822, 0.0)",0.792801500625832,0.053182089552901636,"(0.8636842547612682, 0.0)",0.7439653681679572,28
12,0.04885757044071291,"(0.8963972518921696, 0.0)",0.8017124136274509,0.05258908968939091,"(0.866578136672765, 0.0)",0.749643296550784,28
13,0.0489472829182959,"(0.8989282961391809, 0.0)",0.8050649105940942,0.05182983063954236,"(0.8705768790416157, 0.0)",0.7568202002085682,28
